animal_name,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,venomous,legs,tail,class_type
aardvark,0,0,1,0,0,1,1,1,0,4,0,1
antelope,0,0,1,0,0,0,1,1,0,4,1,1
bass,0,1,0,0,1,1,1,1,0,0,1,4
bear,0,0,1,0,0,1,1,1,0,4,0,1
boar,0,0,1,0,0,1,1,1,0,4,1,1
buffalo,0,0,1,0,0,0,1,1,0,4,1,1
calf,0,0,1,0,0,0,1,1,0,4,1,1
carp,0,1,0,0,1,0,1,1,0,0,1,4
catfish,0,1,0,0,1,1,1,1,0,0,1,4
cavy,0,0,1,0,0,0,1,1,0,4,0,1
cheetah,0,0,1,0,0,1,1,1,0,4,1,1
chicken,1,1,0,1,0,0,0,1,0,2,1,2
chub,0,1,0,0,1,1,1,1,0,0,1,4
clam,0,1,0,0,0,1,0,0,0,0,0,7
crab,0,1,0,0,1,1,0,0,0,4,0,7
crayfish,0,1,0,0,1,1,0,0,0,6,0,7
crow,1,1,0,1,0,1,0,1,0,2,1,2
deer,0,0,1,0,0,0,1,1,0,4,1,1
dogfish,0,1,0,0,1,1,1,1,0,0,1,4
dolphin,0,0,1,0,1,1,1,1,0,0,1,1
dove,1,1,0,1,0,0,0,1,0,2,1,2
duck,1,1,0,1,1,0,0,1,0,2,1,2
elephant,0,0,1,0,0,0,1,1,0,4,1,1
flamingo,1,1,0,1,0,0,0,1,0,2,1,2
flea,0,1,0,0,0,0,0,0,0,6,0,6
frog,0,1,0,0,1,1,1,1,0,4,0,5
frog,0,1,0,0,1,1,1,1,1,4,0,5
fruitbat,0,0,1,1,0,0,1,1,0,2,1,1
giraffe,0,0,1,0,0,0,1,1,0,4,1,1
girl,0,0,1,0,0,1,1,1,0,2,0,1
gnat,0,1,0,1,0,0,0,0,0,6,0,6
goat,0,0,1,0,0,0,1,1,0,4,1,1
gorilla,0,0,1,0,0,0,1,1,0,2,0,1
gull,1,1,0,1,1,1,0,1,0,2,1,2
haddock,0,1,0,0,1,0,1,1,0,0,1,4
hamster,0,0,1,0,0,0,1,1,0,4,1,1
hare,0,0,1,0,0,0,1,1,0,4,1,1
hawk,1,1,0,1,0,1,0,1,0,2,1,2
herring,0,1,0,0,1,1,1,1,0,0,1,4
honeybee,0,1,0,1,0,0,0,0,1,6,0,6
housefly,0,1,0,1,0,0,0,0,0,6,0,6
kiwi,1,1,0,0,0,1,0,1,0,2,1,2
ladybird,0,1,0,1,0,1,0,0,0,6,0,6
lark,1,1,0,1,0,0,0,1,0,2,1,2
leopard,0,0,1,0,0,1,1,1,0,4,1,1
lion,0,0,1,0,0,1,1,1,0,4,1,1
